,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
0,110.0,110.0,0.0,0.9,0.9,20.0,150.0,0.3,0.0,-0.024999999999999998
5,109.50431374155794,109.51808280429243,0.0,0.0,0.8966954249437196,20.0,150.0,0.3,0.0,-0.024999999999999998
10,108.27716066766928,108.33878637852408,0.0,0.0,0.8885144044511285,20.0,150.0,0.3,0.0,-0.024999999999999998
15,106.43549946530898,106.5961390799052,0.0,0.0,0.8762366631020598,20.0,150.0,0.3,0.0,-0.024999999999999998
20,104.08244431005477,104.40746047159392,0.0,0.0,0.8605496287336984,20.0,150.0,0.3,0.0,-0.024999999999999998
25,101.30872169421005,101.87516225313226,0.0,0.0,0.842058144628067,20.0,150.0,0.3,0.0,-0.024999999999999998
30,98.19398316478681,99.08836863579828,0.0,0.0,0.8212932210985787,20.0,150.0,0.3,0.0,-0.024999999999999998
35,94.80798769858492,96.12437351130235,0.0,0.0,0.7987199179905662,20.0,150.0,0.3,0.0,-0.024999999999999998
40,91.2116661655852,93.04995014036972,0.0,0.0,0.7747444411039014,20.0,150.0,0.3,0.0,-0.024999999999999998
45,87.45807917247107,89.92252761468694,0.0,0.0,0.7497205278164738,20.0,150.0,0.3,0.0,-0.024999999999999998
50,83.59327852477736,86.79124700797163,0.0,0.0,0.7239551901651824,20.0,150.0,0.3,0.0,-0.024999999999999998
55,79.65708158935013,83.69790891728468,0.0,0.0,0.6977138772623341,20.0,150.0,0.3,0.0,-0.024999999999999998
60,75.68376696975744,80.67782299297652,0.0,0.0,0.6712251131317163,20.0,150.0,0.3,0.0,-0.024999999999999998
65,71.7026991180738,77.7605690546797,0.0,0.0,0.6446846607871586,20.0,150.0,0.3,0.0,-0.024999999999999998
70,67.7388887898357,74.97067848227951,0.0,0.0,0.6182592585989047,20.0,150.0,0.3,0.0,-0.024999999999999998
75,63.81349559834808,72.32824374639333,0.0,0.0,0.5920899706556539,20.0,150.0,0.3,0.0,-0.024999999999999998
80,59.94427833391727,69.84946319490926,0.0,0.0,0.5662951888927819,20.0,150.0,0.3,0.0,-0.024999999999999998
