,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,245.0,0.3,0.0,0.925,0.0,0.0,0.9,0.9,20.0,20.0,150.0,150.0,0.3,0.3
5,109.50431374155794,109.50431374155794,245.0,0.3,0.0,0.9466036311921563,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,108.27716066766928,108.27716066766928,244.0,0.3,0.0,0.9631035663787633,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,106.43549946530898,106.43549946530898,242.0,0.3,0.0,0.9751657323380851,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,104.08244431005477,104.08244431005477,240.0,0.3,0.0,0.9833828543234376,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,101.30872169421005,101.30872169421005,237.0,0.3,0.0,0.9882818742352525,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,98.19398316478681,98.1939831647868,234.0,0.3,0.0,0.9903306512918357,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,94.80798769858492,94.80798769858491,231.0,0.3,0.0,0.98994401257245,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,91.2116661655852,91.2116661655852,227.0,0.15,-0.012499999999999999,0.974989214605338,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,87.45807917247107,87.46496370383831,223.0,0.3,0.0,0.9708367684108165,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,83.59327852477736,83.6172068488375,219.0,0.3,0.0,0.9652949224376217,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,79.65708158935013,79.70658854122082,215.0,0.3,0.0,0.9586050747552418,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,75.68376696975744,75.7659552432289,211.0,0.3,0.0,0.9509793281333991,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,71.7026991180738,71.82341131676532,207.0,0.3,0.0,0.9426036092010627,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,67.7388887898357,67.90286124588033,203.0,0.3,0.0,0.9336404770229102,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,63.81349559834808,64.02449576920107,199.0,0.3,0.0,0.9242316508077056,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,59.94427833391727,60.20522741495081,195.0,0.3,0.0,0.914500283693059,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,56.14599817754297,56.459080411258654,191.0,0.3,0.0,0.9045530070346564,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,52.43077945215134,52.79753947264055,187.0,0.3,0.0,0.8944817673424156,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
