,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,0.0,-0.024999999999999998,0.9,0.0,0.0,0.9,0.9,20.0,20.0,150.0,150.0,0.3,0.3
5,109.50431374155794,109.51808280429243,109.51808280429243,0.0,-0.024999999999999998,0.8966954249437196,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,108.27716066766928,108.33878637852408,108.33878637852408,0.0,-0.024999999999999998,0.8885144044511285,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,106.43549946530898,106.5961390799052,106.5961390799052,0.0,-0.024999999999999998,0.8762366631020598,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,104.08244431005477,104.40746047159392,104.40746047159392,0.0,-0.024999999999999998,0.8605496287336984,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,101.30872169421005,101.87516225313226,101.87516225313226,0.0,-0.024999999999999998,0.842058144628067,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,98.19398316478681,99.08836863579828,99.08836863579828,0.0,-0.024999999999999998,0.8212932210985787,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,94.80798769858492,96.12437351130235,96.12437351130235,0.0,-0.024999999999999998,0.7987199179905662,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,91.2116661655852,93.04995014036972,93.04995014036972,0.0,-0.024999999999999998,0.7747444411039014,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,87.45807917247107,89.92252761468694,89.92252761468694,0.0,-0.024999999999999998,0.7497205278164738,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,83.59327852477736,86.79124700797163,86.79124700797163,0.0,-0.024999999999999998,0.7239551901651824,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,79.65708158935013,83.69790891728468,83.69790891728468,0.0,-0.024999999999999998,0.6977138772623341,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,75.68376696975744,80.67782299297652,80.67782299297652,0.0,-0.024999999999999998,0.6712251131317163,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,71.7026991180738,77.7605690546797,77.7605690546797,0.0,-0.024999999999999998,0.6446846607871586,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,67.7388887898357,74.97067848227951,74.97067848227951,0.0,-0.024999999999999998,0.6182592585989047,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,63.81349559834808,72.32824374639333,72.32824374639333,0.0,-0.024999999999999998,0.5920899706556539,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,59.94427833391727,69.84946319490926,69.84946319490926,0.0,-0.024999999999999998,0.5662951888927819,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,56.14599817754297,67.54712753360322,67.54712753360322,0.0,-0.024999999999999998,0.5409733211836198,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,52.43077945215134,65.43105382342961,65.43105382342961,0.0,-0.024999999999999998,0.5162051963476757,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,48.80843211308074,63.50847225899565,63.50847225899565,0.0,-0.024999999999999998,0.49205621408720496,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,45.28673977912649,61.784370486732335,61.784370486732335,0.0,-0.024999999999999998,0.4685782651941766,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,41.87171674227372,60.26179976259418,60.26179976259418,0.0,-0.024999999999999998,0.44581144494849145,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
110,38.56783706489348,58.94214683341134,58.94214683341134,0.0,-0.024999999999999998,0.42378558043262327,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,35.378238574553436,57.8253750493337,57.8253750493337,0.0,-0.024999999999999998,0.40252159049702296,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,32.30490429588204,56.91023787355447,56.91023787355447,0.0,-0.024999999999999998,0.38203269530588024,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,29.34882361356719,56.19446764641831,56.19446764641831,0.0,-0.024999999999999998,0.3623254907571146,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,26.510135238233204,55.6749421811334,55.6749421811334,0.0,-0.024999999999999998,0.34340090158822134,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
135,23.788253845509914,55.347831514923726,55.347831514923726,0.0,-0.024999999999999998,0.3252550256367328,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,21.18198207615586,55.2087269101209,55.2087269101209,0.0,-0.024999999999999998,0.30787988050770576,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
