,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,-0.0826143764070111,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,-0.20452551231477656,-0.06884531367250923,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,-0.30694353372671634,-0.1704379269289805,-0.057371094727091024,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,-0.3921758592090343,-0.25578627810559673,-0.14203160577415042,-0.04589687578167282,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,-0.462287102640787,-0.32681321600752844,-0.21315523175466408,-0.11362528461932031,-0.03901234441442189,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0,-0.5191230882372071,-0.3852392522006556,-0.2723443466729405,-0.17052418540373118,-0.09658149192642224,-0.032127813047170974,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.0,-0.5643325777003159,-0.43260257353100573,-0.3210327101672129,-0.21787547733835227,-0.1449455575931715,-0.07953769923352422,-0.025243281679920054,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.0,-0.5993869221666182,-0.4702771480835968,-0.3605021446091716,-0.25682616813377024,-0.18519415573759945,-0.1193669297826118,-0.06249390654062617,-0.020653594101752774,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.0,-0.6255978321856888,-0.4994891018055152,-0.39189762340299694,-0.28840171568733697,-0.2183022429137046,-0.15251283413684666,-0.09378830197205217,-0.05113137807869414,-0.01606390652358549,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.0,-0.644133441282285,-0.5213315268214083,-0.4162409181712625,-0.31351809872239755,-0.2451414583342365,-0.17977831769363917,-0.11983151253609381,-0.07673588343167909,-0.039768849616762116,-0.011474218945418209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.0,-0.6560328225712047,-0.5367778677352373,-0.43444293901783926,-0.33299273453701006,-0.26649038391403823,-0.20188120098113582,-0.14125439247357363,-0.09804396480225858,-0.059683464891305923,-0.028406321154830085,-0.011474218945418209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.0,-0.6622191032654472,-0.5466940188093381,-0.44731488977936484,-0.3475543512142716,-0.28304382435645836,-0.21946266910567847,-0.15862094362803542,-0.11557177566019675,-0.07625641706842333,-0.04263104635093282,-0.028406321154830085,-0.009179375156334563,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.0,-0.6635113086139413,-0.5518492527212064,-0.45557834900778094,-0.3578519118234924,-0.29542119853213067,-0.233094914175907,-0.1724349542973188,-0.12978077205930177,-0.08988915884681961,-0.05446886933458808,-0.04263104635093282,-0.022725056923864066,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.0,-0.6606350547063453,-0.5529260905116171,-0.4598743772676728,-0.3644626792062242,-0.3041741250499681,-0.2432880458499902,-0.18314600399535552,-0.14108314442507897,-0.10094060049056808,-0.06420654203344262,-0.05446886933458808,-0.03410483708074625,-0.017043792692898047,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.0,-0.6542321985812718,-0.550529212255289,-0.46077174209301486,-0.3678995018141382,-0.30979327732529116,-0.25049633827644446,-0.1911548931678494,-0.14984673054165454,-0.10973133455283918,-0.0721004289218343,-0.06420654203344262,-0.043575095467670466,-0.025578627810559685,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.0,-0.6448695440717991,-0.545193498817726,-0.45877434354607427,-0.3686173936744117,-0.3127145765420174,-0.25512387544435744,-0.19681855150292038,-0.1563994580464222,-0.11654745708795355,-0.0783795246805995,-0.0721004289218343,-0.05136523362675405,-0.032681321600752856,-0.025578627810559685,0.0,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,0.0,-0.6330466927290512,-0.5373912867265007,-0.4543279156814375,-0.36701947483685915,-0.3133247846232501,-0.2575296512698966,-0.20045447356342372,-0.16103336032057125,-0.12164402292499521,-0.08324818363425251,-0.0783795246805995,-0.05768034313746742,-0.03852392522006558,-0.032681321600752856,0.0,-0.017043792692898047,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0.0,-0.6192031208986073,-0.5275389106075421,-0.4478260722720835,-0.3634623325451498,-0.3119665536113301,-0.258032175572088,-0.20234472599777575,-0.16400820564280116,-0.12524816913822212,-0.08688858780356795,-0.08324818363425251,-0.06270361974447958,-0.04326025735310059,-0.03852392522006558,0.0,-0.025578627810559685,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
