,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,245.0,2.1,0.15,0.17500000000000002,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
5,110.0,109.91738562359299,244.917385623593,1.8,0.125,0.3243574437390566,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,110.0,109.6440147976057,244.6440147976057,1.55,0.10416666666666667,0.4513825939116727,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,110.0,109.10926224222291,244.1092622422229,1.3,0.08333333333333333,0.5554908175175113,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,110.0,108.27337162335246,243.27337162335246,1.15,0.07083333333333332,0.6446557030787555,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,110.0,107.11847844391573,242.11847844391573,1.0,0.05833333333333333,0.7186802525666236,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,110.0,105.64253826642761,240.6425382664276,0.85,0.04583333333333334,0.7774876853027745,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,110.0,103.8569683891841,238.85696838918412,0.75,0.0375,0.8252705505097779,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,110.0,101.78226742002836,236.78226742002838,0.65,0.02916666666666667,0.8621265563016258,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,110.0,99.44508248332194,234.44508248332195,0.55,0.02083333333333334,0.8882042269407073,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,110.0,96.87712825776676,231.87712825776677,0.55,0.02083333333333334,0.9120277318304832,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,110.0,94.10964794674291,229.1096479467429,0.5,0.016666666666666666,0.9296254707920556,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
