,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,2.2,0.15833333333333335,0.18333333333333335,20.0,20.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
5,110.0,109.91279593601482,109.91279593601482,1.9,0.13333333333333333,0.3409935124885355,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,110.0,109.62347289398743,109.62347289398743,1.65,0.11249999999999999,0.47624564788755086,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,110.0,109.05571570402417,109.05571570402417,1.35,0.08750000000000001,0.5843005072628531,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,110.0,108.16732774662849,108.16732774662849,1.05,0.0625,0.6647820772339291,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,126.83517121901333,123.78199162646472,123.78199162646472,1.15,0.07083333333333332,0.7508691989901947,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,141.78085583820337,137.17137751987516,137.17137751987516,1.15,0.07083333333333332,0.8341409080710691,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,155.04911939373045,148.54354238915047,148.54354238915047,1.1,0.06666666666666667,0.9103535812180173,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,166.82822635768227,158.0876732486591,158.0876732486591,0.9,0.05000000000000001,0.9669744194412819,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,177.2853114379994,165.9843477590674,165.9843477590674,0.8,0.041666666666666664,1.0123972525256808,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,186.56875106645703,172.40570695543184,172.40570695543184,0.7,0.03333333333333333,1.0467599160385368,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,194.81026872393826,177.51297315707552,177.51297315707552,0.8,0.041666666666666664,1.0869125140346847,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,202.1268039756314,181.44810366035364,181.44810366035364,0.65,0.02916666666666667,1.1121816244100213,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,208.62217173604316,184.34164903876308,184.34164903876308,0.55,0.02083333333333334,1.1269107157740936,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,214.388535307275,186.3187597358974,186.3187597358974,0.45,0.012500000000000002,1.1313228982411907,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,219.50771409162172,187.4979102092745,187.4979102092745,0.3,0.0,1.1215029864640504,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,224.05234453373362,187.99358550882795,187.99358550882795,0.3,0.0,1.1102403740940159,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,228.08691076504493,187.91084765677653,187.91084765677653,0.3,0.0,1.097818716904476,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,231.66865957436573,187.3418503526146,187.3418503526146,0.3,0.0,1.0844861093798044,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,234.84841268723045,186.3672919124614,186.3672919124614,0.3,0.0,1.0704589271954406,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,237.67128787950003,185.05771117699467,185.05771117699467,0.3,0.0,1.0559252839325923,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,240.17733915715786,183.47464304624972,183.47464304624972,0.3,0.0,1.0410481391251432,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
