,pump_bgs,bg,carb,insulin,iob,cir,isf,sbr,temp_basal,relative_temp_basal_insulin
0,110.0,110.0,20.0,0.0,0.0,20.0,150.0,0.3,2.2,0.15833333333333335
5,110.0,109.91279593601482,0.0,0.0,0.18266017915520216,20.0,150.0,0.3,2.2,0.15833333333333335
10,110.0,109.60970383125293,0.0,0.0,0.3636538541359876,20.0,150.0,0.3,1.6,0.10833333333333334
15,110.0,109.01015389969295,0.0,0.0,0.4923300952339784,20.0,150.0,0.3,1.3,0.08333333333333333
20,110.0,108.0785847946962,0.0,0.0,0.5933571242210472,20.0,150.0,0.3,1.05,0.0625
25,126.83517121901333,123.64209350483208,0.0,0.0,0.6707698781793106,20.0,150.0,0.3,1.15,0.07083333333333332
30,141.78085583820337,136.9738515309395,0.0,0.0,0.7536574014781646,20.0,150.0,0.3,1.1,0.06666666666666667
35,155.04911939373045,148.2855258115713,0.0,0.0,0.8294668040341562,20.0,150.0,0.3,1.05,0.0625
40,166.82822635768227,157.7708387436743,0.0,0.0,0.8981955227413834,20.0,150.0,0.3,0.9,0.05000000000000001
45,177.2853114379994,165.61191889794313,0.0,0.0,0.9515810601181858,20.0,150.0,0.3,0.8,0.041666666666666664
50,186.56875106645703,171.98075731374337,0.0,0.0,0.9939269184272805,20.0,150.0,0.3,0.7,0.03333333333333333
55,194.81026872393826,177.0384303784012,0.0,0.0,1.025415562176856,20.0,150.0,0.3,0.75,0.0375
60,202.1268039756314,180.92904862904945,0.0,0.0,1.0587212575346603,20.0,150.0,0.3,0.65,0.02916666666666667
65,208.62217173604316,183.7841171414176,0.0,0.0,1.0815271697917903,20.0,150.0,0.3,0.55,0.02083333333333334
70,214.388535307275,185.72811248043377,0.0,0.0,1.0940519165381002,20.0,150.0,0.3,0.5,0.016666666666666666
75,219.50771409162172,186.87660924049962,0.0,0.0,1.100694313338885,20.0,150.0,0.3,0.3,0.0
80,224.05234453373362,187.3424580410427,0.0,0.0,1.0892328576421144,20.0,150.0,0.3,0.3,0.0
