,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,3.0,0.225,0.25,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
5,110.0,109.87607843538949,109.87607843538949,3.0,0.225,0.4990820624843666,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
10,110.0,109.4453686023068,109.4453686023068,3.0,0.225,0.7458916192763467,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
15,110.0,108.55424346863404,108.55424346863404,3.0,0.225,0.9892906923602522,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
20,110.0,107.07485454614773,107.07485454614773,3.0,0.225,1.2283322558973908,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
25,110.0,104.90203496970025,104.90203496970025,2.35,0.17083333333333336,1.408070629405187,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
30,110.0,101.98036373015505,101.98036373015505,3.0,0.225,1.6364065217276238,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
35,110.0,98.25621708980384,98.25621708980384,1.4,0.09166666666666666,1.7254322085139093,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
40,110.0,93.74340935296324,93.74340935296324,3.0,0.225,1.9418675025211916,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
45,110.0,88.43134866174185,88.43134866174185,0.0,-0.024999999999999998,1.9022793347968399,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
50,110.0,82.40713462621413,82.40713462621413,0.0,-0.024999999999999998,1.8572277742867989,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
55,110.0,75.83603338369278,75.83603338369278,0.0,-0.024999999999999998,1.807801373705055,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
60,110.0,68.86182279672991,68.86182279672991,0.0,-0.024999999999999998,1.7549517784900721,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
65,110.0,61.60915106822639,61.60915106822639,0.0,-0.024999999999999998,1.69950854087747,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
