,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
0,110.0,110.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
5,110.0,109.87607843538949,0.0,0.0,0.24908206248436657,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
10,110.0,109.4453686023068,0.0,0.0,0.49589161927634673,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
15,110.0,108.55424346863404,0.0,0.0,0.7392906923602522,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
20,110.0,107.07485454614773,0.0,0.0,0.9783322558973907,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
25,110.0,104.90203496970025,0.0,0.0,1.2122372960718537,20.0,20.0,150.0,150.0,3.0,0.3,2.35,0.17083333333333336
30,110.0,101.98036373015505,0.0,0.0,1.386406521727624,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
35,110.0,98.25621708980384,0.0,0.0,1.6087655418472426,20.0,20.0,150.0,150.0,3.0,0.3,1.4,0.09166666666666666
40,110.0,93.74340935296324,0.0,0.0,1.6918675025211916,20.0,20.0,150.0,150.0,3.0,0.3,3.0,0.225
45,110.0,88.43134866174185,0.0,0.0,1.9022793347968399,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
50,110.0,82.40713462621413,0.0,0.0,1.8572277742867989,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
55,110.0,75.83603338369278,0.0,0.0,1.807801373705055,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
60,110.0,68.86182279672991,0.0,0.0,1.7549517784900721,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
65,110.0,61.60915106822639,0.0,0.0,1.69950854087747,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
70,110.0,54.18565652576097,0.0,0.0,1.642192445555448,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
75,110.0,46.68387166418503,0.0,0.0,1.5836274901075984,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
80,110.0,39.18293236815097,0.0,0.0,1.5243516500477265,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
85,110.0,31.750111268304266,0.0,0.0,1.464826546081627,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
90,110.0,24.44219239827402,0.0,0.0,1.405446120179972,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
95,110.0,17.306702697874854,0.0,0.0,1.3465444170130665,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
100,110.0,10.383014436092628,0.0,0.0,1.2884025581899121,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
105,110.0,3.703331291826677,0.0,0.0,1.2312549884767083,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
110,110.0,1.0,0.0,0.0,1.1752950656671297,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
115,110.0,1.0,0.0,0.0,1.1206800589688255,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
120,110.0,1.0,0.0,0.0,1.0675356145942554,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
125,110.0,1.0,0.0,0.0,1.0159597416415682,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
130,110.0,1.0,0.0,0.0,0.9660263662702955,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
135,110.0,1.0,0.0,0.0,0.9177884975694927,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
140,110.0,1.0,0.0,0.0,0.8712810443391907,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
145,110.0,1.0,0.0,0.0,0.826523318220171,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
150,110.0,1.0,0.0,0.0,0.7835212551762499,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
155,110.0,1.0,0.0,0.0,0.7422693842247973,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
160,110.0,1.0,0.0,0.0,0.7027525694954349,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
165,110.0,1.0,0.0,0.0,0.6649475491467977,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
170,110.0,1.0,0.0,0.0,0.6288242923623135,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
175,110.0,1.0,0.0,0.0,0.5943471935559084,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
180,110.0,1.0,0.0,0.0,0.5614761210270562,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
185,110.0,1.0,0.0,0.0,0.5301673355932818,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
190,110.0,1.0,0.0,0.0,0.5003742931803018,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
195,110.0,1.0,0.0,0.0,0.47204834395029005,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
200,110.0,1.0,0.0,0.0,0.4451393392834071,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
205,110.0,1.0,0.0,0.0,0.41959615678422846,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
210,110.0,1.0,0.0,0.0,0.3953671524516019,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
215,110.0,1.0,0.0,0.0,0.3724005482174303,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
220,110.0,1.0,0.0,0.0,0.3506447622174938,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
225,110.0,1.0,0.0,0.0,0.33004868839716306,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
230,110.0,1.0,0.0,0.0,0.31056193136895727,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
235,110.0,1.0,0.0,0.0,0.2921350018203387,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
240,110.0,1.0,0.0,0.0,0.2747194772125211,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
245,110.0,1.0,0.0,0.0,0.25826813200860865,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
250,110.0,1.0,0.0,0.0,0.24273504121682868,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
255,110.0,1.0,0.0,0.0,0.22807566062719378,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
260,110.0,1.0,0.0,0.0,0.2142468867533254,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
265,110.0,1.0,0.0,0.0,0.20120709916144736,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
270,110.0,1.0,0.0,0.0,0.1889161875721863,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
275,110.0,1.0,0.0,0.0,0.17733556585455398,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
280,110.0,1.0,0.0,0.0,0.166428174792433,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
285,110.0,1.0,0.0,0.0,0.1561584752893874,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
290,110.0,1.0,0.0,0.0,0.14649243348528276,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
295,110.0,1.0,0.0,0.0,0.13739749908585946,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
300,110.0,1.0,0.0,0.0,0.12884257805208732,20.0,20.0,150.0,150.0,3.0,0.3,0.0,-0.024999999999999998
