,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,0.65,0.02916666666666667,0.4541666666666667,20.0,20.0,0.4,0.4,30.0,20.0,150.0,150.0,0.15,0.3
5,109.77969499624797,109.76363108972438,109.76363108972438,0.55,0.02083333333333334,0.4983324135132659,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
10,109.23429363007523,109.16698665498947,109.16698665498947,0.45,0.012500000000000002,0.5315357396275644,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
15,108.41577754013733,108.25349624763818,108.25349624763818,0.15,-0.012499999999999999,0.5372857108869463,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
20,107.36997524891324,107.0786472316691,107.0786472316691,0.15,-0.012499999999999999,0.540857540467533,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
25,122.97238086088446,122.5350445117085,122.5350445117085,0.5,0.016666666666666666,0.5717228848918198,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
30,136.53373724477527,135.93201547682168,135.93201547682168,0.55,0.02083333333333334,0.605045161117379,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
35,148.29711392643486,147.49909714332856,147.49909714332856,0.55,0.02083333333333334,0.6367239462458711,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
40,158.47785576460902,157.4388716120209,157.4388716120209,0.45,0.012500000000000002,0.6584824085303607,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
45,167.26667995909767,165.9360630733744,165.9360630733744,0.4,0.008333333333333337,0.6745753546210607,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
50,174.83243041080254,173.15991720053506,173.15991720053506,0.35,0.004166666666666666,0.6851213176725581,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
55,181.32452720809388,179.26424079988806,179.26424079988806,0.45,0.012500000000000002,0.7027542983201013,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
60,186.87514485107914,184.38207209708688,184.38207209708688,0.35,0.004166666666666666,0.7109080806549092,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
65,191.60114912185372,188.6329721229807,188.6329721229807,0.3,0.0,0.7138528696688775,0.0,0.0,0.0,0.0,30.0,20.0,150.0,150.0,0.15,0.3
