,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
0,110.0,110.0,20.0,0.4,0.4,30.0,20.0,150.0,150.0,0.15,0.3,0.65,0.02916666666666667
5,109.77969499624797,109.76363108972438,0.0,0.0,0.45249908017993257,30.0,20.0,150.0,150.0,0.15,0.3,0.65,0.02916666666666667
10,109.23429363007523,109.1623969674113,0.0,0.0,0.50233847504371,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
15,108.41577754013733,108.23754403159806,0.0,0.0,0.5330126961133457,30.0,20.0,150.0,150.0,0.15,0.3,0.15,-0.012499999999999999
20,107.36997524891324,107.0456425970886,0.0,0.0,0.5364708429036632,30.0,20.0,150.0,150.0,0.15,0.3,0.15,-0.012499999999999999
25,122.97238086088446,122.48025232939418,0.0,0.0,0.5380242703430578,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
30,136.53373724477527,135.85383552148306,0.0,0.0,0.562857294748455,30.0,20.0,150.0,150.0,0.15,0.3,0.55,0.02083333333333334
35,148.29711392643486,147.39775828065217,0.0,0.0,0.594381687161362,30.0,20.0,150.0,150.0,0.15,0.3,0.55,0.02083333333333334
40,158.47785576460902,157.31470714874246,0.0,0.0,0.6243213121085045,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
45,167.26667995909767,165.7894931105092,0.0,0.0,0.644431554868626,30.0,20.0,150.0,150.0,0.15,0.3,0.4,0.008333333333333337
50,174.83243041080254,172.99143311095511,0.0,0.0,0.6589980904086918,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
55,181.32452720809388,179.07439160491012,0.0,0.0,0.6681553036869151,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
60,186.87514485107914,184.17145253912443,0.0,0.0,0.6845039502684931,30.0,20.0,150.0,150.0,0.15,0.3,0.35,0.004166666666666666
65,191.60114912185372,188.4022122515637,0.0,0.0,0.6914811371927642,30.0,20.0,150.0,150.0,0.15,0.3,0.3,0.0
70,195.60581921386864,191.8777143019101,0.0,0.0,0.693382595347942,30.0,20.0,150.0,150.0,0.15,0.3,0.4,0.008333333333333337
75,198.98037880199865,194.69284600411405,0.0,0.0,0.7028025584296473,30.0,20.0,150.0,150.0,0.15,0.3,0.5,0.016666666666666666
80,201.80535712658576,196.92394444898915,0.0,0.0,0.7197761003617569,30.0,20.0,150.0,150.0,0.15,0.3,0.5,0.016666666666666666
85,204.15179884395292,198.6357983135581,0.0,0.0,0.7359850546163528,30.0,20.0,150.0,150.0,0.15,0.3,0.55,0.02083333333333334
90,206.08233933087746,199.88367344939613,0.0,0.0,0.7555982633583476,30.0,20.0,150.0,150.0,0.15,0.3,0.55,0.02083333333333334
95,207.65216029304412,200.7153251459263,0.0,0.0,0.7744458154185395,30.0,20.0,150.0,150.0,0.15,0.3,0.6,0.024999999999999998
100,208.90983889244512,201.1710546246615,0.0,0.0,0.7966809069170376,30.0,20.0,150.0,150.0,0.15,0.3,0.55,0.02083333333333334
105,209.89810215372395,201.28778081157722,0.0,0.0,0.8139690575606594,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
110,210.65449711470393,201.10456872356926,0.0,0.0,0.8221875591279266,30.0,20.0,150.0,150.0,0.15,0.3,0.45,0.012500000000000002
115,211.21198603413245,200.65897730932997,0.0,0.0,0.8297308500014585,30.0,20.0,150.0,150.0,0.15,0.3,0.4,0.008333333333333337
