,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,180.0,180.0,180.0,0.3,0.0,0.165,0.0,0.0,0.14,0.14,20.0,20.0,500.0,150.0,0.3,0.3
5,179.9228932486868,179.9228932486868,179.9228932486868,0.3,0.0,0.18939416123968192,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
10,179.73200277052632,179.73200277052632,179.73200277052632,0.3,0.0,0.21280251373114353,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
15,179.44552213904805,179.44552213904805,179.44552213904805,0.3,0.0,0.2352325501630123,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
20,179.07949133711963,179.0794913371196,179.0794913371196,0.3,0.0,0.2566965011705366,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
25,178.64802337465488,178.64802337465488,178.64802337465488,0.3,0.0,0.2772105521048847,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
30,178.16350849230017,178.16350849230017,178.16350849230017,0.3,0.0,0.29679415347525817,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
35,177.63679808644653,177.63679808644653,177.63679808644653,0.3,0.0,0.31546941515819416,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
40,177.07737029242438,177.07737029242435,177.07737029242435,0.3,0.0,0.33326057545093246,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
45,176.49347898238437,176.49347898238437,176.49347898238437,0.3,0.0,0.35019353693445693,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
50,175.8922877705209,175.8922877705209,175.8922877705209,0.35,0.004166666666666666,0.3704621285821777,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
55,175.27999046945448,175.27769562566536,175.27769562566536,0.35,0.004166666666666666,0.3899124553182056,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
60,174.6619193064067,174.65164835459757,174.65164835459757,0.35,0.004166666666666666,0.4085506155425235,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
65,174.0426420850337,174.0158688159343,174.0158688159343,0.35,0.004166666666666666,0.4263866591955229,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
70,173.42604936730777,173.37188000705123,173.37188000705123,0.35,0.004166666666666666,0.4434339354307164,0.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3
