,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
0,180.0,180.0,0.0,0.0,0.0,20.0,20.0,500.0,150.0,0.3,0.3,0.6,0.024999999999999998
5,180.0,179.9862309372655,0.0,0.0,0.049816412496873304,20.0,20.0,500.0,150.0,0.3,0.3,0.6,0.024999999999999998
10,180.0,179.9383742891452,0.0,0.0,0.09917832385526933,20.0,20.0,500.0,150.0,0.3,0.3,0.5,0.016666666666666666
15,180.0,179.84395007298195,0.0,0.0,0.1395554030559049,20.0,20.0,500.0,150.0,0.3,0.3,0.45,0.012500000000000002
20,180.0,179.69782058586821,0.0,0.0,0.17498536282886046,20.0,20.0,500.0,150.0,0.3,0.3,0.45,0.012500000000000002
25,180.0,179.49737693108568,0.0,0.0,0.2095395758144232,20.0,20.0,500.0,150.0,0.3,0.3,0.4,0.008333333333333337
30,180.0,179.24302136239007,0.0,0.0,0.238990905942524,20.0,20.0,500.0,150.0,0.3,0.3,0.4,0.008333333333333337
35,180.0,178.93686801898897,0.0,0.0,0.2674698813751436,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
40,180.0,178.5833193882615,0.0,0.0,0.29080023608984645,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
45,180.0,178.1878513859242,0.0,0.0,0.31315601962472217,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
50,180.0,177.75537050610657,0.0,0.0,0.3345493468194151,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
55,180.0,177.29026975402664,0.0,0.0,0.3549962828406137,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
60,180.0,176.79647927348833,0.0,0.0,0.3745161550017948,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
65,180.0,176.2775121608707,0.0,0.0,0.3931309481617651,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
70,180.0,175.73650591244058,0.0,0.0,0.41086477479997824,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
75,180.0,175.1762599110231,0.0,0.0,0.4277434117531853,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
80,180.0,174.59926932094874,0.0,0.0,0.4437938963997113,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
85,180.0,174.0077557264311,0.0,0.0,0.45904417580247203,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
90,180.0,173.40369481781676,0.0,0.0,0.47352280297692295,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
95,180.0,172.7888414022144,0.0,0.0,0.48725867504199616,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
100,180.0,172.16475198960555,0.0,0.0,0.5002808085466645,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
105,180.0,171.53280518243693,0.0,0.0,0.5126181477474429,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
110,180.0,170.89422007568757,0.0,0.0,0.5242994020477977,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
115,180.0,170.25007285530597,0.0,0.0,0.5353529092035043,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
120,180.0,169.60131176554953,0.0,0.0,0.5458065212525136,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
125,180.0,168.94877059997603,0.0,0.0,0.555687510447499,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
130,180.0,168.29318085649328,0.0,0.0,0.5650224927572869,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
135,180.0,167.63518268383598,0.0,0.0,0.573837366762814,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
140,180.0,166.97533473499374,0.0,0.0,0.5821572660068576,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
145,180.0,166.31412303235123,0.0,0.0,0.5900065230669953,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
150,180.0,165.65196893952393,0.0,0.0,0.5974086438103453,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
155,180.0,164.9892363259913,0.0,0.0,0.6043862904586147,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
160,180.0,164.32623800256326,0.0,0.0,0.6109612722447189,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
165,180.0,163.665536342179,0.0,0.0,0.6130031748713078,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
170,180.0,163.00845035159438,0.0,0.0,0.6188727091559842,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
175,180.0,162.35463053269922,0.0,0.0,0.6244188532198779,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
180,180.0,161.7037601919333,0.0,0.0,0.6296568448431983,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
185,180.0,161.05555242184167,0.0,0.0,0.6346014845036185,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
190,180.0,160.40974735649502,0.0,0.0,0.6392671122406037,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
195,180.0,159.7684045199683,0.0,0.0,0.6395162230367497,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
200,180.0,159.1324024469706,0.0,0.0,0.6437028012279451,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
205,180.0,158.50100683594113,0.0,0.0,0.6476694484079479,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
210,180.0,157.87356582195565,0.0,0.0,0.651425361543906,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
215,180.0,157.24950152899243,0.0,0.0,0.6549796218973888,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
220,180.0,156.63059728860827,0.0,0.0,0.6541897902521632,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
225,180.0,156.01749264893346,0.0,0.0,0.6574052222462958,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
230,180.0,155.40924738428183,0.0,0.0,0.660464178227309,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
235,180.0,154.80732789118082,0.0,0.0,0.6592204165928311,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
240,180.0,154.21209729079857,0.0,0.0,0.6620198125096224,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
245,180.0,153.62466986833692,0.0,0.0,0.6605460726731301,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
250,180.0,153.0451005455368,0.0,0.0,0.6631420172353655,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
255,180.0,152.47193974256166,0.0,0.0,0.6656399644549605,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
260,180.0,151.90621154612506,0.0,0.0,0.6638882707163294,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
265,180.0,151.34789641529713,0.0,0.0,0.6662279006818368,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
270,180.0,150.79548413151596,0.0,0.0,0.6684894655256844,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
275,180.0,150.2476554147264,0.0,0.0,0.6706711186496831,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
280,180.0,149.70555605908763,0.0,0.0,0.6686204011715087,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
285,180.0,149.16928019720595,0.0,0.0,0.670677481191464,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
290,180.0,148.6397186168117,0.0,0.0,0.668520826287353,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
295,180.0,148.11674275549365,0.0,0.0,0.6704884467075751,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
300,180.0,147.6010495097186,0.0,0.0,0.668256876811326,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
305,180.0,147.09234207496522,0.0,0.0,0.6701623961824412,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
310,180.0,146.59117191919333,0.0,0.0,0.6678799910854146,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
315,180.0,146.0971170756559,0.0,0.0,0.6697445574959018,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
320,180.0,145.61062182934515,0.0,0.0,0.6674298461977424,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
325,180.0,145.13117295777613,0.0,0.0,0.6692696510184253,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
330,180.0,144.65913757747873,0.0,0.0,0.6669367405493054,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
335,180.0,144.19393773614564,0.0,0.0,0.6687640342901193,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
340,180.0,143.73588678301525,0.0,0.0,0.666423523443855,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
345,180.0,143.28436264042722,0.0,0.0,0.6682474371923175,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
350,180.0,142.83964299373756,0.0,0.0,0.6659071545792653,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
355,180.0,142.40107750860523,0.0,0.0,0.667734362741411,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
360,180.0,141.9689220802427,0.0,0.0,0.6653999615324154,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
365,180.0,141.54480505604343,0.0,0.0,0.663083847497884,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
370,180.0,141.13006262738136,0.0,0.0,0.6607971585224639,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
375,180.0,140.72577460341364,0.0,0.0,0.6585491872507399,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
380,180.0,140.33279636020765,0.0,0.0,0.6563476019204373,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
385,180.0,139.95178734690964,0.0,0.0,0.6541986438358376,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
390,180.0,139.58323649409945,0.0,0.0,0.6521073037987914,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
395,180.0,139.22518999252605,0.0,0.0,0.6542288473015905,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
400,180.0,138.8767695226497,0.0,0.0,0.652225609033978,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
405,180.0,138.5386199089487,0.0,0.0,0.6502699832131714,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
410,180.0,138.2089329792618,0.0,0.0,0.6525179216208872,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
415,180.0,137.88696645881865,0.0,0.0,0.6506323982268511,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
420,180.0,137.57349224692723,0.0,0.0,0.6487864027333254,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
425,180.0,137.26682085917125,0.0,0.0,0.6511364416073175,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
430,180.0,136.96632086720072,0.0,0.0,0.6493460054948694,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
435,180.0,136.67286768637368,0.0,0.0,0.6475885653658786,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
440,180.0,136.38486849625698,0.0,0.0,0.6500210759690701,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
445,180.0,136.1017821280962,0.0,0.0,0.6483074455036191,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
450,180.0,135.82456827142,0.0,0.0,0.6466215338671304,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
455,180.0,135.55400763036894,0.0,0.0,0.6449692903620343,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
460,180.0,135.2884292232523,0.0,0.0,0.6475069388280617,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
465,180.0,135.02722825830654,0.0,0.0,0.6458977664311296,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
470,180.0,134.77131354294232,0.0,0.0,0.6443151091672508,20.0,20.0,500.0,150.0,0.3,0.3,0.35,0.004166666666666666
475,180.0,134.51913119192807,0.0,0.0,0.6469158458607003,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
480,,134.27132652787859,0.0,0.0,0.6451485290668257,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
485,,134.028831177958,0.0,0.0,0.643416607700477,20.0,20.0,500.0,150.0,0.3,0.3,0.3,0.0
490,,133.79202433723287,,,0.6417610382955019,,,,,,,,
