,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,0.0,-0.024999999999999998,1.0,0.0,0.0,1.0,1.0,20.0,20.0,150.0,150.0,0.3,0.3
5,109.44923749061992,109.46300655335443,0.0,-0.024999999999999998,0.9963282499374662,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,108.08573407518809,108.14735978604288,0.0,-0.024999999999999998,0.9872382271679205,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,106.0394438503433,106.20008346493952,0.0,-0.024999999999999998,0.9735962923356221,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,103.42493812228308,103.74995428382222,0.0,-0.024999999999999998,0.9561662541485538,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,100.34302410467784,100.90946466360003,0.0,-0.024999999999999998,0.9356201606978523,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,96.8822035164298,97.77658898744124,0.0,-0.024999999999999998,0.9125480234428652,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,93.11998633176101,94.43637214447844,0.0,-0.024999999999999998,0.8874665755450735,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,89.1240735173169,90.96235749210139,0.0,-0.024999999999999998,0.8608271567821126,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,84.95342130274562,87.41786974496148,0.0,-0.024999999999999998,0.8330228086849709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,80.65919836086373,83.85716684405799,0.0,-0.024999999999999998,0.8043946557390915,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,76.28564621038902,80.32647353832355,0.0,-0.024999999999999998,0.7752376414025935,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,71.87085218861938,76.86490821183843,0.0,-0.024999999999999998,0.7458056812574625,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,67.44744346452643,73.50531340113233,0.0,-0.024999999999999998,0.7163162897635096,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,63.043209766484125,70.27499945892791,0.0,-0.024999999999999998,0.6869547317765609,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,58.68166177594232,67.19640992398755,0.0,-0.024999999999999998,0.6578777451729487,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,54.38253148213031,64.28771634312228,0.0,-0.024999999999999998,0.6292168765475354,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,50.162220197269974,61.5633495533302,0.0,-0.024999999999999998,0.6010814679817998,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,46.03419939127928,59.034473762557525,0.0,-0.024999999999999998,0.5735613292751952,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,42.00936901453417,56.70940916044906,0.0,-0.024999999999999998,0.5467291267635611,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,38.09637753236278,54.5940082399686,0.0,-0.024999999999999998,0.5206425168824185,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,34.30190749141525,52.69199051173569,0.0,-0.024999999999999998,0.4953460499427683,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
110,30.63093007210388,51.00523984062172,0.0,-0.024999999999999998,0.4708728671473592,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,27.086931749503833,49.53406822428408,0.0,-0.024999999999999998,0.4472462116633589,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,23.672115884313413,48.277449461985825,0.0,-0.024999999999999998,0.4244807725620894,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,20.387581792852473,47.23322582570357,0.0,-0.024999999999999998,0.40258387861901646,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,17.233483598036955,46.39829054093713,0.0,-0.024999999999999998,0.3815565573202464,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
135,14.20917093945556,45.76874860886935,0.0,-0.024999999999999998,0.3613944729297037,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,11.313313417951079,45.3400582519161,0.0,-0.024999999999999998,0.3420887561196738,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
145,8.544010466526956,45.1071550388288,0.0,-0.024999999999999998,0.32362673644351303,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,5.898888173192816,45.064560541164845,0.0,-0.024999999999999998,0.30599258782128547,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,3.3751844309207115,45.20647718811972,0.0,-0.024999999999999998,0.28916789620613803,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,0.9698236537479801,45.52687081960329,0.0,-0.024999999999999998,0.2731321576916532,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
165,-1.320517825096502,46.01954228638622,0.0,-0.024999999999999998,0.2578632144993567,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,-3.4993546685565633,46.678189309640075,0.0,-0.024999999999999998,0.2433376355429563,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,-5.570342860830991,47.496459688886425,0.0,-0.024999999999999998,0.22953104759446008,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,-7.537236629440855,48.46799683601258,0.0,-0.024999999999999998,0.21641842247039433,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,-9.40385123381256,49.586478512486195,0.0,-0.024999999999999998,0.20397432510791624,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,-11.174030964222425,50.84564955618189,0.0,-0.024999999999999998,0.19217312690518384,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,-12.851621762056027,52.23934930239969,0.0,-0.024999999999999998,0.18098918825295984,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,-14.440447932918886,53.761534329859806,0.0,-0.024999999999999998,0.17039701378054073,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,-15.944292478803291,55.40629709594548,0.0,-0.024999999999999998,0.16037138347464475,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,-17.366880624832575,57.167880965537016,0.0,-0.024999999999999998,0.15088746250111618,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,-18.71186616057352,59.04069208381041,0.0,-0.024999999999999998,0.1419208922628431,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,-19.982820255988372,61.019308494795276,0.0,-0.024999999999999998,0.13344786496007754,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,-21.18322244821144,63.098486863777495,0.0,-0.024999999999999998,0.12544518367859048,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,-22.316453527855572,65.27316712232975,0.0,-0.024999999999999998,0.11789030981429627,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,-23.38579008282673,67.53847531942927,0.0,-0.024999999999999998,0.11076139944782182,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,-24.39440048396213,69.88972493039292,0.3,0.0,0.12903733010691906,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,-25.345342120488482,72.30864778414427,0.3,0.0,0.14760592544518006,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,-26.241559714581484,74.7706125347955,0.3,0.0,0.16631209716375805,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,-27.085884563424344,77.25442089629684,0.3,0.0,0.18502317214652955,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,-27.88103457432402,79.74192020281234,0.3,0.0,0.20362632842757886,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,-28.629614973838102,82.21765578026115,0.3,0.0,0.2220262964482647,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
270,-29.334119585666798,84.66855924598488,0.3,0.0,0.24014329962214506,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,-29.996932584427356,87.08366922012904,0.3,0.0,0.25791121068570144,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,-30.620330643496033,89.45388126508068,0.3,0.0,0.27527590254479645,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,-31.206485405000763,91.77172417126961,0.3,0.0,0.29219377435188915,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,-31.75746620889555,94.0311599816188,0.3,0.0,0.30863043538606794,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,-32.27524302594489,96.22740539547782,0.3,0.0,0.32455953097413714,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,-32.7616895464933,98.35677241830723,0.3,0.0,0.3399616962019177,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,-33.218586383172095,100.4165263278209,0.7,0.03333333333333333,0.3881569578681468,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
310,-33.64762435128472,102.38640046233984,0.6,0.024999999999999998,0.42734818137305874,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
315,-34.05040779557922,104.24269958075115,0.55,0.02083333333333334,0.4615484408632044,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
320,-34.42845793652734,105.97115269677677,0.5,0.016666666666666666,0.4906667186472871,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
325,-34.7832162131416,107.56413718755518,0.5,0.016666666666666666,0.5188227458836195,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
330,-35.11604760282296,109.01743338384023,0.45,0.012500000000000002,0.5418253792583828,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
335,-35.42824390179371,110.33058557635616,0.3,0.0,0.55134168655819,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
340,-35.72102695236964,111.51237961642862,0.3,0.0,0.5599334756666117,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
345,-35.99555180570414,112.57541933626376,0.3,0.0,0.5676878151645619,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
350,-36.252909810726976,113.53113134441931,0.3,0.0,0.5746837435838109,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
355,-36.49413162183231,114.38987297576743,0.3,0.0,0.5809929991891599,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
360,-36.720190119473415,115.16103047118291,0.3,0.0,0.5866806841386841,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
365,-36.9320032392186,115.8531082628375,0.3,0.0,0.5918058688765115,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
370,-37.1304367060371,116.47381016301718,0.3,0.0,0.5964221420933699,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
375,-37.316306671636085,117.0301131833168,0.3,0.0,0.6005781111167614,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
380,-37.4903822535766,117.52833464629916,0.3,0.0,0.6043178571610476,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
385,-37.65338797567637,117.974193192676,0.3,0.0,0.6076813494742804,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
390,-37.80600610987068,118.37286423327363,0.3,0.0,0.6107048220599529,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
395,-37.948878920269465,118.72903034601809,0.3,0.0,0.613421116324871,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
