,pump_bgs,bg,carb,insulin,iob,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual,temp_basal,relative_temp_basal_insulin
0,110.0,110.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
5,110.0,110.0137690627345,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
10,110.0,110.0616257108548,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
15,110.0,110.16063961459622,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
20,110.0,110.32501616153914,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
25,110.0,110.5664405589222,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
30,110.0,110.89438547101145,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
35,110.0,111.31638581271743,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
40,110.0,111.8382839747845,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
45,110.0,112.46444844221587,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
50,110.0,113.19796848319427,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
55,110.0,114.04082732793455,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
60,110.0,114.99405602321907,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.0,-0.024999999999999998
65,110.0,116.05786993660591,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
70,110.0,117.22490516107656,0.0,0.0,0.012454103124218326,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
75,110.0,118.48393529261786,0.0,0.0,0.02479458096381733,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
80,110.0,119.82486505369388,0.0,0.0,0.03696453461801261,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
85,110.0,121.23862127529067,0.0,0.0,0.04891661279486953,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
90,110.0,122.71705409181716,0.0,0.0,0.06061186480359268,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
95,110.0,124.25284741040917,0.0,0.0,0.0720187150966285,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
100,110.0,125.83943780124712,0.0,0.0,0.08311204729094192,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
105,110.0,127.46864618913911,0.0,0.0,0.09802375445879109,20.0,20.0,150.0,150.0,0.0,0.3,0.15,-0.012499999999999999
110,110.0,129.13410943938987,0.0,0.0,0.10839866447248013,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
115,110.0,130.8293550721038,0.0,0.0,0.12254812398215698,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
120,110.0,132.54725287073884,0.0,0.0,0.1362794619537763,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
125,110.0,134.28160535257834,0.0,0.0,0.1495730754648484,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
130,110.0,136.02704512899248,0.0,0.0,0.1624149212406155,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
135,110.0,137.7789426730872,0.0,0.0,0.17479576669115607,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
140,110.0,139.53332348776263,0.0,0.0,0.18671052435865088,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
145,110.0,141.28679376178104,0.0,0.0,0.19815766126319478,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
150,110.0,143.03647368731475,0.0,0.0,0.2091386754622849,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
155,110.0,144.77993769040052,0.0,0.0,0.21965763288801016,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
160,110.0,146.51516089648473,0.0,0.0,0.22972075820419616,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
165,110.0,148.23817637367048,0.0,0.0,0.24348744174791853,20.0,20.0,150.0,150.0,0.0,0.3,0.2,-0.008333333333333331
170,110.0,149.9465303968402,0.0,0.0,0.25262657612429046,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
175,110.0,151.63737910567792,0.0,0.0,0.26547051037307023,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
180,110.0,153.30696045086523,0.0,0.0,0.2778448465694122,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
185,110.0,154.95220351494706,0.0,0.0,0.28974582512432223,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
190,110.0,156.57064334567232,0.0,0.0,0.30117308550178695,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
195,110.0,158.16034492111808,0.0,0.0,0.31212915904441596,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
200,110.0,159.7198353337305,0.0,0.0,0.3226190204730121,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
205,110.0,161.24804336796987,0.0,0.0,0.33264969195480737,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
210,110.0,162.7442457256243,0.0,0.0,0.3422298942350314,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
215,110.0,164.20801922480808,0.0,0.0,0.3513697398694943,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
220,110.0,165.63919836386933,0.0,0.0,0.36008046408723793,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
225,110.0,167.03554285672547,0.0,0.0,0.37252555696491024,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
230,110.0,168.39620244196084,0.0,0.0,0.3803772119451701,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
235,110.0,169.7221172372721,0.0,0.0,0.3878190122334407,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
240,110.0,171.01199978574311,0.0,0.0,0.39901916247592034,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
245,110.0,172.26352220812356,0.0,0.0,0.40980508827170853,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
250,110.0,173.4772300921164,0.0,0.0,0.4160228808792306,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
255,110.0,174.65526300001258,0.0,0.0,0.42186211950463437,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
260,110.0,175.79735875999347,0.0,0.0,0.43149591880878635,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
265,110.0,176.9020605734297,0.0,0.0,0.44075566173605496,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
270,110.0,177.96835394899836,0.0,0.0,0.4496419309755681,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
275,110.0,178.99560650214923,0.0,0.0,0.4581574592325026,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
280,110.0,179.98351448632795,0.0,0.0,0.4663067906864448,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
285,110.0,180.93205536753948,0.0,0.0,0.4740959823270215,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
290,110.0,181.84144582078844,0.0,0.0,0.4815323409805318,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
295,110.0,182.71210458757702,0.0,0.0,0.4886241922547982,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
300,110.0,183.54461968855617,0.0,0.0,0.495380678003577,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
305,110.0,184.3397195351441,0.0,0.0,0.5018115792503013,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
310,110.0,185.0982475289263,0.0,0.0,0.5079271618169684,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
315,110.0,185.82113977837196,0.0,0.0,0.5137380421806763,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
320,110.0,186.50940559924007,0.0,0.0,0.519255071330376,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
325,110.0,187.1641104983644,0.0,0.0,0.524489234622348,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
330,110.0,187.78636137063097,0.0,0.0,0.5294515658369878,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
335,110.0,188.37729366618856,0.0,0.0,0.5341530738237394,20.0,20.0,150.0,150.0,0.0,0.3,0.25,-0.004166666666666666
340,110.0,188.94035515332655,0.0,0.0,0.5344533125792645,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
345,110.0,189.4777982823856,0.0,0.0,0.5387036748053742,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
350,110.0,189.99024225536104,0.0,0.0,0.5427444829900893,20.0,20.0,150.0,150.0,0.0,0.3,0.3,0.0
