,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,0.0,-0.024999999999999998,2.0,40.0,20.0,2.0,2.0,20.0,20.0,150.0,150.0,0.3,0.3
5,108.89847498123986,108.91224404397435,108.91224404397435,0.0,-0.024999999999999998,1.9926564998749323,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,106.17146815037617,106.23309386123097,106.23309386123097,0.0,-0.024999999999999998,1.974476454335841,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,102.07888770068662,102.23952731528284,102.23952731528284,0.0,-0.024999999999999998,1.9471925846712441,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,96.84987624456616,97.17489240610531,97.17489240610531,0.0,-0.024999999999999998,1.9123325082971077,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,107.521219428369,108.0876599872912,108.0876599872912,0.0,-0.024999999999999998,1.8712403213957045,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,115.54526287106293,116.43964834207439,116.43964834207439,0.0,-0.024999999999999998,1.8250960468857305,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,121.28909205725247,122.60547786996992,122.60547786996992,0.3,0.0,1.7999331510901468,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,125.07637339231606,126.90088830436606,126.90088830436606,0.3,0.0,1.7715625198126619,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,127.19215404349066,129.59497677485174,129.59497677485174,0.3,0.0,1.7406347792975765,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,127.8871477881845,130.92447665678256,130.92447665678256,0.3,0.0,1.7077183807142082,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,127.38156114471631,131.0973723111117,131.0973723111117,0.7,0.03333333333333333,1.7066418417282596,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,125.86850835287014,130.27776506685433,130.27776506685433,0.6,0.024999999999999998,1.6960460337866925,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,123.51705866509603,128.60296520379558,128.60296520379558,0.55,0.02083333333333334,1.6803194902076435,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
