,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,0.0,-0.024999999999999998,2.0,20.0,20.0,2.0,2.0,20.0,20.0,150.0,150.0,0.3,0.3
5,108.89847498123986,108.91224404397435,0.0,-0.024999999999999998,1.9926564998749323,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,106.17146815037617,106.23309386123097,0.0,-0.024999999999999998,1.974476454335841,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,102.07888770068662,102.23952731528284,0.0,-0.024999999999999998,1.9471925846712441,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,96.84987624456616,97.17489240610531,0.0,-0.024999999999999998,1.9123325082971077,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,107.521219428369,108.0876599872912,0.0,-0.024999999999999998,1.8712403213957045,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,115.54526287106293,116.43964834207439,0.0,-0.024999999999999998,1.8250960468857305,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,121.28909205725247,122.60547786996992,0.0,-0.024999999999999998,1.774933151090147,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,125.07637339231606,126.91465736710057,0.0,-0.024999999999999998,1.7216543135642253,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,127.19215404349066,129.65660248570654,0.0,-0.024999999999999998,1.6660456173699418,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,127.8871477881845,131.08511627137878,0.0,-0.024999999999999998,1.608789311478183,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,127.38156114471631,131.42238847265088,0.0,-0.024999999999999998,1.550475282805187,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,125.86850835287014,130.8625643760892,0.0,-0.024999999999999998,1.491611362514925,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,123.51705866509603,129.57492860170194,0.0,-0.024999999999999998,1.4326325795270192,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,120.47495484024324,127.70674453268705,0.0,-0.024999999999999998,1.3739094635531217,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,116.87103764350634,125.3857857915516,0.0,-0.024999999999999998,1.3157554903458974,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,112.81740749799425,122.72259235898625,0.0,-0.024999999999999998,1.2584337530950709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,108.41135115958488,119.81248051564512,0.0,-0.024999999999999998,1.2021629359635997,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,103.7370583569243,116.73733272820255,0.0,-0.024999999999999998,1.1471226585503904,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,98.8671507162988,113.56719086221369,0.0,-0.024999999999999998,1.0934582535271222,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,93.86404294422559,110.36167365183142,0.0,-0.024999999999999998,1.041285033764837,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,88.78115413998836,107.17123716030882,0.0,-0.024999999999999998,0.9906920998855366,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
110,83.66398523007015,104.03829499858801,0.0,-0.024999999999999998,0.9417457342947184,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,78.55107683333861,100.99821330811888,0.0,-0.024999999999999998,0.8944924233267177,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,73.47486035918882,98.08019393686125,0.0,-0.024999999999999998,0.8489615451241788,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,68.46241379212012,95.30805782497123,0.0,-0.024999999999999998,0.8051677572380329,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,63.5361324088349,92.70093935173509,0.0,-0.024999999999999998,0.7631131146404928,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
135,58.714323593071555,90.27390126248535,0.0,-0.024999999999999998,0.7227889458594075,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,54.011733945759545,88.03847877972457,0.0,-0.024999999999999998,0.6841775122393476,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
145,49.44001602183806,86.00316059413991,0.0,-0.024999999999999998,0.6472534728870261,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,45.0081412495976,84.17381361756964,0.0,-0.024999999999999998,0.6119851756425709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,40.722764894180386,82.55405765137941,0.0,-0.024999999999999998,0.5783357924122761,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,36.588548305408096,81.14559547126342,0.0,-0.024999999999999998,0.5462643153833064,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
