,settings,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
model,"[360.0, 75]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
momentum_data_interval,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suspend_threshold,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynamic_carb_absorption_enabled,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrospective_correction_integration_interval,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recency_interval,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrospective_correction_grouping_interval,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rate_rounder,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insulin_delay,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_delay,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_absorption_times,"[120.0, 180.0, 240.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_basal_rate,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_bolus,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrospective_correction_enabled,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset_applied_to_dates,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_to_calculate_at,,8/15/2019 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_start_times,,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_minutes,,1440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_values,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basal_rate_units,,U/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_dates,,8/12/2019 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_values,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_absorption_times,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_value_units,,g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_start_times,,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_values,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carb_ratio_value_units,,g/U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_types,,DoseType.bolus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_start_times,,8/15/2019 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_end_times,,8/15/2019 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_values,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dose_value_units,,U or U/hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_start_times,,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_end_times,,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_values,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensitivity_ratio_value_units,,mg/dL/U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_start_times,,0:00:00,5:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_end_times,,5:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_minimum_values,,90,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_maximum_values,,100,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
target_range_value_units,,mg/dL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glucose_dates,,8/15/2019 00:40:00,8/15/2019 00:45:00,8/15/2019 00:50:00,8/15/2019 00:55:00,8/15/2019 01:00:00,8/15/2019 01:05:00,8/15/2019 01:10:00,8/15/2019 01:15:00,8/15/2019 01:20:00,8/15/2019 01:25:00,8/15/2019 01:30:00,8/15/2019 01:35:00,8/15/2019 01:40:00,8/15/2019 01:45:00,8/15/2019 01:50:00,8/15/2019 01:55:00,8/15/2019 02:00:00,8/15/2019 02:05:00,8/15/2019 02:10:00,8/15/2019 02:15:00,8/15/2019 02:20:00,8/15/2019 02:25:00,8/15/2019 02:30:00,8/15/2019 02:35:00,8/15/2019 02:40:00,8/15/2019 02:45:00,8/15/2019 02:50:00,8/15/2019 02:55:00,8/15/2019 03:00:00,8/15/2019 03:05:00,8/15/2019 03:10:00,8/15/2019 03:15:00,8/15/2019 03:20:00,8/15/2019 03:25:00,8/15/2019 03:30:00,8/15/2019 03:35:00,8/15/2019 03:40:00,8/15/2019 03:45:00,8/15/2019 03:50:00,8/15/2019 03:55:00,8/15/2019 04:00:00,8/15/2019 04:05:00,8/15/2019 04:10:00,8/15/2019 04:15:00,8/15/2019 04:20:00,8/15/2019 04:25:00,8/15/2019 04:30:00,8/15/2019 04:35:00,8/15/2019 04:40:00,8/15/2019 04:45:00,8/15/2019 04:50:00,8/15/2019 04:55:00,8/15/2019 05:00:00,8/15/2019 05:05:00,8/15/2019 05:10:00,8/15/2019 05:15:00,8/15/2019 05:20:00,8/15/2019 05:25:00,8/15/2019 05:30:00,8/15/2019 05:35:00,8/15/2019 05:40:00,8/15/2019 05:45:00,8/15/2019 05:50:00,8/15/2019 05:55:00,8/15/2019 06:00:00,8/15/2019 06:05:00,8/15/2019 06:10:00,8/15/2019 06:15:00,8/15/2019 06:20:00,8/15/2019 06:25:00,8/15/2019 06:30:00,8/15/2019 06:35:00,8/15/2019 06:40:00,8/15/2019 06:45:00,8/15/2019 06:50:00,8/15/2019 06:55:00,8/15/2019 07:00:00,8/15/2019 07:05:00,8/15/2019 07:10:00,8/15/2019 07:15:00,8/15/2019 07:20:00,8/15/2019 07:25:00,8/15/2019 07:30:00,8/15/2019 07:35:00,8/15/2019 07:40:00,8/15/2019 07:45:00,8/15/2019 07:50:00,8/15/2019 07:55:00,8/15/2019 08:00:00,8/15/2019 08:05:00,8/15/2019 08:10:00,8/15/2019 08:15:00,8/15/2019 08:20:00,8/15/2019 08:25:00,8/15/2019 08:30:00,8/15/2019 08:35:00,8/15/2019 08:40:00,8/15/2019 08:45:00,8/15/2019 08:50:00,8/15/2019 08:55:00,8/15/2019 09:00:00,8/15/2019 09:05:00,8/15/2019 09:10:00,8/15/2019 09:15:00,8/15/2019 09:20:00,8/15/2019 09:25:00,8/15/2019 09:30:00,8/15/2019 09:35:00,8/15/2019 09:40:00,8/15/2019 09:45:00,8/15/2019 09:50:00,8/15/2019 09:55:00,8/15/2019 10:00:00,8/15/2019 10:05:00,8/15/2019 10:10:00,8/15/2019 10:15:00,8/15/2019 10:20:00,8/15/2019 10:25:00,8/15/2019 10:30:00,8/15/2019 10:35:00,8/15/2019 10:40:00,8/15/2019 10:45:00,8/15/2019 10:50:00,8/15/2019 10:55:00,8/15/2019 11:00:00,8/15/2019 11:05:00,8/15/2019 11:10:00,8/15/2019 11:15:00,8/15/2019 11:20:00,8/15/2019 11:25:00,8/15/2019 11:30:00,8/15/2019 11:35:00,8/15/2019 11:40:00,8/15/2019 11:45:00,8/15/2019 11:50:00,8/15/2019 11:55:00,8/15/2019 12:00:00
glucose_values,,87,90,92,96,94,97,95,100,102,101,105,104,103,108,103,104,108,100,105,108,104,101,106,100,105,105,99,96,101,96,93,91,92,95,87,86,85,81,82,86,85,80,83,80,82,73,74,73,73,78,76,76,71,75,77,76,74,75,76,85,82,82,83,85,84,92,92,87,97,94,94,100,101,103,100,105,104,103,99,100,102,105,102,109,101,108,105,112,103,102,98,105,105,97,97,100,98,98,93,90,86,86,88,87,83,81,84,82,83,80,76,74,82,75,71,80,76,74,72,79,79,80,77,80,76,79,76,83,81,86,82,84,84,80,70,60,50
glucose_units,,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL,mg/dL
