,initial_scenario,t=0,t=5,t=10,t=15,t=20,t=25,t=30,t=35,t=40,t=45,t=50,t=55,t=60,t=65,t=70,t=75,t=80,t=85,t=90,t=95,t=100,t=105,t=110,t=115,t=120,t=125,t=130,t=135,t=140,t=145,t=150,t=155,t=160,t=165,t=170,t=175,t=180,t=185,t=190,t=195,t=200,t=205,t=210,t=215,t=220,t=225,t=230,t=235,t=240,t=245,t=250,t=255,t=260,t=265,t=270,t=275,t=280,t=285,t=290,t=295,t=300,t=305,t=310,t=315,t=320,t=325,t=330,t=335,t=340,t=345,t=350,t=355,t=360,t=365,t=370,t=375,t=380,t=385,t=390,t=395,t=400,t=405,t=410,t=415,t=420,t=425,t=430,t=435,t=440,t=445,t=450,t=455,t=460,t=465,t=470,t=475
0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,-0.5507625093800739,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.363503415431844,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,-2.046290224844774,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,-2.6145057280602275,0.0,0.0,0.0,0.013769062734501847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,13.753257201408084,0.0,0.0,0.0,0.03408758538579609,0.013769062734501847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,11.48486403094198,0.0,0.0,0.0,0.05115725562111936,0.03408758538579609,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.506046370858321,0.0,0.0,0.0,0.0653626432015057,0.05115725562111936,0.0,-0.013769062734501847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7.783194149507697,0.0,0.0,0.0,0.07704785044013115,0.0653626432015057,0.0,-0.03408758538579609,-0.01606390652358549,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,6.286432865745876,0.0,0.0,0.0,0.08652051470620115,0.07704785044013115,0.0,-0.05115725562111936,-0.039768849616762116,-0.011474218945418209,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4.98921668657573,0.0,0.0,0.0,0.09405542961671937,0.08652051470620115,0.0,-0.0653626432015057,-0.059683464891305923,-0.028406321154830085,-0.009179375156334563,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3.86796550700652,0.0,0.0,0.0,0.09989782036110306,0.09405542961671937,0.0,-0.07704785044013115,-0.07625641706842333,-0.04263104635093282,-0.022725056923864066,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.9017412299234735,0.0,0.0,0.0,0.1042663053642815,0.09989782036110306,0.0,-0.08652051470620115,-0.08988915884681961,-0.05446886933458808,-0.03410483708074625,-0.017043792692898047,-0.013769062734501847,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2.0719590363188303,0.0,0.0,0.0,0.10735557354704761,0.1042663053642815,0.0,-0.09405542961671937,-0.10094060049056808,-0.06420654203344262,-0.043575095467670466,-0.025578627810559685,-0.03408758538579609,-0.009179375156334563,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1.3621298731895237,0.0,0.0,0.0,0.10933880376186744,0.10735557354704761,0.0,-0.09989782036110306,-0.10973133455283918,-0.0721004289218343,-0.05136523362675405,-0.032681321600752856,-0.05115725562111936,-0.022725056923864066,-0.006884531367250925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,0.7576307938049069,0.0,0.0,0.0,0.11036985054424142,0.10933880376186744,0.0,-0.1042663053642815,-0.11654745708795355,-0.0783795246805995,-0.05768034313746742,-0.03852392522006558,-0.0653626432015057,-0.03410483708074625,-0.017043792692898047,-0.004589687578167283,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,0.24550014829991795,0.0,0.0,0.0,0.11058521810232369,0.11036985054424142,0.0,-0.10735557354704761,-0.12164402292499521,-0.08324818363425251,-0.06270361974447958,-0.04326025735310059,-0.07704785044013115,-0.043575095467670466,-0.025578627810559685,-0.011362528461932035,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,-0.18574505354903437,0.0,0.0,0.0,0.11010584245105748,0.11058521810232369,0.0,-0.10933880376186744,-0.12524816913822212,-0.08688858780356795,-0.06659854690740197,-0.04702771480835968,-0.08652051470620115,-0.05136523362675405,-0.032681321600752856,-0.017052418540373128,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,-0.5462719966698941,0.0,0.0,0.0,0.10903869976354508,0.11010584245105748,0.0,-0.11036985054424142,-0.12756193772217872,-0.0894629779558731,-0.0695108702428544,-0.04994891018055156,-0.09405542961671937,-0.05768034313746742,-0.03852392522006558,-0.02178754773383524,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,-0.8450772638803912,0.0,0.0,0.0,0.10747825734530014,0.10903869976354508,0.0,-0.11058521810232369,-0.1287648256349483,-0.09111566980155617,-0.07157038236469832,-0.05213315268214075,-0.09989782036110306,-0.06270361974447958,-0.04326025735310059,-0.02568261681337705,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,-1.0901162899018146,0.0,0.0,0.0,0.10550778212150824,0.10747825734530014,0.0,-0.11010584245105748,-0.129016087786044,-0.09197487545353467,-0.072892535841245,-0.053677786773523806,-0.1042663053642815,-0.06659854690740197,-0.04702771480835968,-0.028840171568733697,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,-1.2884187632896982,0.0,0.0,0.0,0.10320052014976766,0.10550778212150824,0.0,-0.10903869976354508,-0.1284568161929005,-0.09215434841860282,-0.07357990036282769,-0.05466940188093372,-0.10735557354704761,-0.0695108702428544,-0.04994891018055156,-0.03135180987223979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
