,pump_bgs,bg,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,0.3,0.0,1.025,20.0,20.0,1.0,1.0,20.0,20.0,150.0,150.0,0.3,0.3
5,109.44923749061992,109.44923749061992,0.3,0.0,1.0462364561859028,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
10,108.08573407518809,108.08573407518807,0.3,0.0,1.0618273890955552,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
15,106.0394438503433,106.0394438503433,0.0,-0.024999999999999998,1.0475253615716473,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
20,103.42493812228308,103.43870718501758,0.0,-0.024999999999999998,1.0290912734898563,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
25,117.17819532369117,117.23982103454595,0.3,0.0,1.0322547283774028,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
30,128.66305935463313,128.80992990649486,0.6,0.024999999999999998,1.0575645906485338,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
35,138.16910572549148,138.4187271134413,0.65,0.02916666666666667,1.0845214793799562,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
40,145.95229987499917,146.29418026468124,0.55,0.02083333333333334,1.1008511328814299,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
45,152.23873274074504,152.64178117139016,0.5,0.016666666666666666,1.1109468086078327,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
50,157.22794942732077,157.64894199788483,0.45,0.012500000000000002,1.1150481496548903,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
55,161.09591493432728,161.48531585271857,0.6,0.024999999999999998,1.130061465338972,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
60,163.99765616425077,164.2954249729717,0.5,0.016666666666666666,1.1353304331608085,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
65,166.0696152005696,166.20738263224075,0.45,0.012500000000000002,1.1351822730639447,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
70,167.43174507375912,167.33966389976368,0.4,0.008333333333333337,1.1297955926669658,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
75,168.18937586756402,167.800504831831,0.3,0.0,1.1151869506144267,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
80,168.43487601586395,167.69118428939333,0.3,0.0,1.099891032631118,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
85,168.2491309623149,167.1034089855042,0.3,0.0,1.0841024590959933,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
90,167.70285896564502,166.11737973869512,0.3,0.0,1.0679896386203407,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
95,166.85778170176462,164.80310586906586,0.3,0.0,1.0516976869061363,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
100,165.7676654118628,163.22157575167668,0.3,0.0,1.035351047763805,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
105,164.4792466485731,161.42579896019674,0.3,0.0,1.0190558452181226,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
110,163.03305515796626,159.4617337904436,0.2,-0.008333333333333331,0.9945686595737553,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
115,161.46414508383478,157.37370217257023,0.2,-0.008333333333333331,0.9703290157563932,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
120,159.8027444748754,155.20271707138667,0.3,0.0,0.9547783660210146,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
125,158.07483199926764,152.97927917543575,0.25,-0.004166666666666666,0.9354758995744628,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
130,156.30264881079793,150.72878628002582,0.2,-0.008333333333333331,0.912465427495764,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
135,154.505152653616,148.47652066951787,0.25,-0.004166666666666666,0.8941397419062904,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
140,152.69842052780845,146.24294951090314,0.3,0.0,0.8805406504472045,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
145,150.8960055553111,144.04144688375717,0.3,0.0,0.8675087148178074,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
150,149.10925307640477,141.88159047041057,0.3,0.0,0.8550370213281767,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
155,147.34758046325967,139.77113920344954,0.3,0.0,0.8431163360927433,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
160,145.6187246516601,137.7162743665552,0.3,0.0,0.8317355080185846,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
165,143.92896095888256,135.72181232938001,0.35,0.004166666666666666,0.8250484895594544,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
170,142.28329636909763,133.7890972383545,0.4,0.008333333333333337,0.8230260148166902,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
175,140.68564012263266,131.915074595359,0.4,0.008333333333333337,0.821448593747852,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
180,139.1389541374914,130.09527286643643,0.4,0.008333333333333337,0.8202589908936709,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
185,137.64538551670657,128.32550010168018,0.3,0.0,0.8110728906990813,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
190,136.2063831498419,126.60642420779722,0.4,0.008333333333333337,0.8105421971555232,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
195,134.82280019809258,124.93656627671311,0.3,0.0,0.8019744883473914,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
200,133.49498405712356,123.3160195296582,0.3,0.0,0.7936907018455799,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
205,132.22285521751203,121.7474254369923,0.3,0.0,0.7856979211061874,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
210,131.0059762871607,120.23268223146964,0.3,0.0,0.7780004248607112,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
215,129.84361230131594,118.77304897033427,0.3,0.0,0.7706000817604052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
220,128.73478332205872,117.36923737722284,0.3,0.0,0.7634967003226135,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
225,127.6783102187305,116.0214927960063,0.3,0.0,0.7566883387805022,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
230,126.6728544222816,114.72966544857098,0.3,0.0,0.7501715789883228,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
235,125.71695235870467,113.49327306290931,0.3,0.0,0.7439417681274788,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
240,124.80904518839844,112.31155582526881,0.3,0.0,0.737993231590354,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
245,123.94750440847915,111.18352450915883,0.3,0.0,0.7323194600854924,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
250,123.13065381280578,110.10800254353208,0.3,0.0,0.7269132737060863,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
255,122.35678824899904,109.08366270136958,0.3,0.0,0.7217669654308582,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
260,121.62418956228512,108.10905901723223,0.3,0.0,0.7168724262796499,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
265,120.93114007193915,107.18265447723901,0.3,0.0,0.7122212541229348,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
270,120.27593388685332,106.30284496660411,0.3,0.0,0.7078048479428052,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
275,119.65688633180199,105.46797990762319,0.3,0.0,0.7036144891607997,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
280,119.07234172485371,104.67637997421241,0.3,0.0,0.6996414114833426,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
285,118.52067971867677,103.92635222721005,0.3,0.0,0.6958768605669747,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
290,118.00032039383137,103.21620297714624,0.3,0.0,0.6923121446714042,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
295,117.50972827021289,102.54424864762119,0.3,0.0,0.6889386773473741,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
300,117.04741538330572,101.90882488239437,0.3,0.0,0.6857480130971715,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
305,116.61194355457158,101.30829411241861,0.3,0.0,0.6827318768471732,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,0.3,0.3
